country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,5/30/2021,600152,480226,119926,,4746,1.54,1.23,0.31,122,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,1/10/2021,0,0,,,,0,0,,,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/12/2021,128,128,,,64,0,0,,22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/13/2021,188,188,,60,63,0.01,0.01,,22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/14/2021,266,266,,78,66,0.01,0.01,,23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/15/2021,308,308,,42,62,0.01,0.01,,22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/16/2021,369,369,,61,62,0.01,0.01,,22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/17/2021,405,405,,36,58,0.01,0.01,,20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/18/2021,447,447,,42,55,0.02,0.02,,19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/19/2021,483,483,,36,51,0.02,0.02,,18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/20/2021,519,519,,36,47,0.02,0.02,,16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,1/21/2021,549,549,,30,40,0.02,0.02,,14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/2/2021,550,549,1,,0,0.02,0.02,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/9/2021,1127,689,438,,82,0.04,0.02,0.02,28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/17/2021,1701,1090,611,,72,0.06,0.04,0.02,25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/18/2021,3049,2438,611,1348,254,0.11,0.08,0.02,88,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/19/2021,4177,,,1128,405,0.15,,,141,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/22/2021,6728,6073,655,,739,0.23,0.21,0.02,257,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,2/25/2021,10135,,,,1012,0.35,,,352,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/1/2021,14295,,,,1081,0.5,,,376,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/3/2021,15793,,,,971,0.55,,,337,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/10/2021,21613,,,,831,0.75,,,289,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/12/2021,23635,,,,883,0.82,,,307,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/17/2021,33369,,,,1679,1.16,,,583,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/22/2021,48229,,,,2679,1.68,,,931,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/23/2021,51690,,,3461,2895,1.8,,,1006,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/24/2021,53992,,,2302,2946,1.88,,,1024,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/25/2021,59348,,,5356,3287,2.06,,,1142,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/26/2021,62248,,,2900,3276,2.16,,,1138,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/27/2021,64075,,,1827,3113,2.23,,,1082,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/28/2021,78000,,,13925,4678,2.71,,,1626,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/30/2021,119321,,,,9662,4.15,,,3357,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,3/31/2021,138846,,,19525,12122,4.82,,,4212,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/1/2021,155463,,,16617,13731,5.4,,,4771,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/2/2021,172486,,,17023,15748,5.99,,,5472,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/3/2021,185496,,,13010,17346,6.45,,,6028,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/4/2021,192882,,,7386,16412,6.7,,,5703,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/5/2021,206708,,,13826,15435,7.18,,,5363,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/6/2021,221588,,,14880,14610,7.7,,,5077,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/7/2021,232379,,,10791,13362,8.07,,,4643,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/8/2021,242542,,,10163,12440,8.43,,,4323,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/9/2021,250676,,,8134,11170,8.71,,,3881,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/10/2021,256810,,,6134,10188,8.92,,,3540,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/12/2021,267531,,,,8689,9.3,,,3019,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/13/2021,281216,,,13685,8518,9.77,,,2960,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/15/2021,304488,,,,8849,10.58,,,3075,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/16/2021,314622,,,10134,9135,10.93,,,3174,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/17/2021,324840,,,10218,9719,11.29,,,3377,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/18/2021,332905,,,8065,10105,11.57,,,3511,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/19/2021,345934,,,13029,11200,12.02,,,3892,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/20/2021,350000,,,4066,9826,12.16,,,3414,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/21/2021,372075,,,22075,11318,12.93,,,3933,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/22/2021,382998,,,10923,11216,13.31,,,3897,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/23/2021,391351,,,8353,10961,13.6,,,3809,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/24/2021,400064,,,8713,10746,13.9,,,3734,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/26/2021,408619,,,,8955,14.2,,,3112,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/27/2021,416855,,,8236,9551,14.49,,,3319,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/28/2021,433628,,,16773,8793,15.07,,,3055,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/29/2021,453248,,,19620,10036,15.75,,,3487,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,4/30/2021,476903,,,23655,12222,16.57,,,4247,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/1/2021,494028,,,17125,13423,17.17,,,4664,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/3/2021,517501,,,,15555,17.98,,,5405,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/4/2021,537387,,,19886,17219,18.67,,,5983,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/5/2021,556584,,,19197,17565,19.34,,,6104,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/6/2021,572226,,,15642,16997,19.88,,,5906,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/7/2021,585693,,,13467,15541,20.35,,,5400,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/8/2021,596766,,,11073,14677,20.74,,,5100,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/9/2021,600000,,,3234,13462,20.85,,,4678,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/10/2021,612959,,,12959,13637,21.3,,,4739,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/11/2021,622507,440921,181586,9548,12160,21.63,15.32,6.31,4225,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/12/2021,632676,444755,187921,10169,10870,21.98,15.45,6.53,3777,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/13/2021,638338,445402,192936,5662,9445,22.18,15.48,6.7,3282,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/14/2021,653330,448571,204759,14992,9662,22.7,15.59,7.12,3357,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/17/2021,680083,456980,223103,,9589,23.63,15.88,7.75,3332,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/18/2021,688947,460191,228756,8864,9491,23.94,15.99,7.95,3298,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/19/2021,697811,463402,234409,8864,9305,24.25,16.1,8.15,3233,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/20/2021,703743,466083,237660,5932,9344,24.45,16.2,8.26,3247,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/21/2021,708846,469169,239677,5103,7931,24.63,16.3,8.33,2756,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/23/2021,716616,472840,243776,,6493,24.9,16.43,8.47,2256,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/24/2021,725135,475237,249898,8519,6436,25.2,16.51,8.68,2236,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/26/2021,748986,479789,269197,,7311,26.03,16.67,9.35,2540,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/27/2021,759043,481788,277255,10057,7900,26.38,16.74,9.63,2745,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/30/2021,772204,485162,287042,,7941,26.83,16.86,9.97,2759,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Albania,ALB,5/31/2021,776461,486128,290333,4257,7332,26.98,16.89,10.09,2548,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-776461-vaksinime/
Algeria,DZA,1/29/2021,0,,,,,0,,,,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,1/30/2021,30,,,30,30,0,,,1,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2/19/2021,75000,,,,3748,0.17,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Andorra,AND,1/25/2021,576,576,,,,0.75,0.75,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/1/2021,1036,1036,,,66,1.34,1.34,,854,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/10/2021,1291,1291,,,28,1.67,1.67,,362,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/12/2021,1622,1622,,,68,2.1,2.1,,880,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/19/2021,2141,2141,,,74,2.77,2.77,,958,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/24/2021,2390,2390,,,57,3.09,3.09,,738,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,2/26/2021,2526,,,,55,3.27,,,712,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,3/8/2021,3611,2439,1172,,108,4.67,3.16,1.52,1398,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,3/10/2021,4914,3650,1264,,264,6.36,4.72,1.64,3417,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,3/15/2021,8363,7098,1265,,679,10.82,9.19,1.64,8788,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,3/19/2021,9288,,,,428,12.02,,,5539,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/4/2021,12440,,,,197,16.1,,,2550,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/5/2021,15269,9781,4484,2829,573,19.76,12.66,5.8,7416,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/11/2021,17091,,,,664,22.12,,,8594,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/12/2021,19064,,,1973,542,24.67,,,7015,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/19/2021,26414,21733,4681,,1050,34.19,28.13,6.06,13590,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,4/26/2021,28503,23822,4681,,298,36.89,30.83,6.06,3857,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Andorra,AND,5/3/2021,28881,24182,4699,,54,37.38,31.3,6.08,699,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
